Datasets,Size,mHTM,RSM,RSM Speed-UP,mRM,Searches,CAM RM,CAM RSM,CAM RSM Speed-UP,SDR entries,CAM size in Bytes
speed_7578,1128,32.83,25.37,1.29,0.89,2076,51.9,24.48,1.34,703,57646
iio_us-east-1_NetworkIn,1244,28.86,21.79,1.32,0.86,2266,56.65,20.93,1.38,451,36982
exchange-3_cpc_results,1539,44.43,35.56,1.25,1.45,2772,69.3,34.10,1.30,910,74620
exchange-3_cpm_results,1539,30.14,30.00,1.00,1.27,2772,69.3,28.73,1.05,747,61254
exchange-2_cpc_results,1625,66.20,76.83,0.86,2.70,2982,74.55,74.13,0.89,1518,124476
exchange-2_cpm_results,1625,52.85,56.83,0.93,2.28,2974,74.35,54.56,0.97,1375,112750
exchange-4_cpc_results,1644,20.92,20.36,1.03,0.87,2960,74,19.49,1.07,105,8610
exchange-4_cpm_results,1644,22.60,17.40,1.30,0.96,3166,79.15,16.45,1.37,72,5904
rogue_agent_key_hold,1883,33.12,27.29,1.21,1.11,3525,88.125,26.18,1.27,327,26814
TravelTime_451,2163,89.57,69.46,1.29,2.26,3869,96.725,67.20,1.33,953,78146
occupancy_6005,2381,199.43,121.17,1.65,4.42,4397,109.925,116.75,1.71,2189,179498
speed_t4013,2496,104.89,85.41,1.23,3.15,4587,114.675,82.26,1.28,1655,135710
TravelTime_387,2501,84.49,66.97,1.26,2.12,4556,113.9,64.86,1.30,783,64206
occupancy_t4013,2501,76.33,77.32,0.99,3.95,4619,115.475,73.37,1.04,2199,180318
speed_6005,2501,96.25,100.24,0.96,4.47,4622,115.55,95.77,1.00,2296,188272
art_daily_flatmiddle,4033,173.24,129.30,1.34,3.99,7385,184.625,125.31,1.38,1332,109224
art_daily_jumpsdown,4033,183.98,187.37,0.98,5.09,7453,186.325,182.28,1.01,2023,165886
art_daily_jumpsup,4033,146.54,144.40,1.01,3.57,7190,179.75,140.83,1.04,952,78064
art_daily_no_noise,4033,132.42,76.63,1.73,1.78,7876,196.9,74.84,1.77,50,4100
art_daily_nojump,4033,167.28,150.44,1.11,4.63,7331,183.275,145.81,1.15,1535,125870
art_daily_perfect_square_wave,4033,107.51,68.29,1.57,1.62,7996,199.9,66.67,1.61,18,1476
art_daily_small_noise,4033,194.17,151.41,1.28,5.06,7409,185.225,146.35,1.33,2042,167444
art_flatline,4033,87.48,64.37,1.36,1.02,8060,201.5,63.35,1.38,4,328
art_increase_spike_density,4033,125.17,72.57,1.72,2.35,7980,199.5,70.22,1.78,46,3772
art_load_balancer_spikes,4033,425.40,244.52,1.74,3.52,7731,193.275,241.00,1.77,509,41738
art_noisy,4033,435.64,339.53,1.28,13.48,7482,187.05,326.05,1.34,3986,326852
ec2_cpu_utilization_24ae8d,4033,99.93,81.76,1.22,2.34,7353,183.825,79.41,1.26,174,14268
ec2_cpu_utilization_53ea38,4033,240.56,205.05,1.17,6.55,7513,187.825,198.50,1.21,2965,243130
ec2_cpu_utilization_5f5533,4033,211.68,194.16,1.09,8.30,7532,188.3,185.86,1.14,3598,295036
ec2_cpu_utilization_77c1ca,4033,415.39,167.18,2.48,4.37,7680,192,162.81,2.55,755,61910
ec2_cpu_utilization_825cc2,4033,128.71,135.13,0.95,3.11,7407,185.175,132.02,0.97,723,59286
ec2_cpu_utilization_ac20cd,4033,135.49,103.97,1.30,3.95,7525,188.125,100.02,1.35,1712,140384
ec2_cpu_utilization_c6585a,4033,101.51,95.33,1.06,2.27,7279,181.975,93.07,1.09,170,13940
